Frequency (Hz)	Level (dB)
283.203125	-41.592529
284.179688	-41.580906
285.156250	-42.656105
286.132812	-42.975525
287.109375	-40.935356
288.085938	-40.196701
289.062500	-39.127605
290.039062	-40.390499
291.015625	-41.632362
291.992188	-42.392559
292.968750	-41.836727
293.945312	-40.002193
294.921875	-40.857311
295.898438	-42.816742
296.875000	-41.132782
297.851562	-41.076694
298.828125	-40.755394
299.804688	-40.614399
300.781250	-39.401924
301.757812	-40.380219
302.734375	-41.167751
303.710938	-41.378025
304.687500	-40.464542
305.664062	-42.149029
306.640625	-40.702602
307.617188	-41.128162
308.593750	-41.839420
309.570312	-41.017193
310.546875	-41.887547
311.523438	-42.646694
312.500000	-41.752544
313.476562	-41.335495
314.453125	-40.412064
315.429688	-41.918282
316.406250	-42.881981
317.382812	-41.849129
318.359375	-41.489792
319.335938	-41.248978
320.312500	-39.876141
321.289062	-39.908764
322.265625	-41.694786
323.242188	-40.827328
324.218750	-40.357471
325.195312	-41.444992
326.171875	-40.966099
327.148438	-39.953239
328.125000	-41.199287
329.101562	-41.855148
330.078125	-40.663094
331.054688	-40.631489
332.031250	-40.806232
333.007812	-41.685551
333.984375	-42.676216
334.960938	-41.674946
335.937500	-41.383812
336.914062	-41.314075
337.890625	-40.549393
338.867188	-41.184879
339.843750	-42.514019
340.820312	-41.735455
341.796875	-41.043022
342.773438	-40.549397
343.750000	-41.319515
344.726562	-42.940086
345.703125	-41.765079
346.679688	-41.382099
347.656250	-40.818195
348.632812	-41.034359
349.609375	-40.482487
350.585938	-39.699837
351.562500	-40.184021
352.539062	-42.712269
353.515625	-41.284824
354.492188	-40.550030
355.468750	-41.871258
356.445312	-41.723385
357.421875	-39.580494
358.398438	-40.258076
359.375000	-41.832943
360.351562	-41.222435
361.328125	-40.510159
362.304688	-40.429802
363.281250	-40.803917
364.257812	-41.710560
365.234375	-41.234238
366.210938	-41.322365
367.187500	-41.134579
368.164062	-40.803619
369.140625	-40.699646
370.117188	-41.986031
371.093750	-41.682430
372.070312	-42.091705
373.046875	-41.185497
374.023438	-41.234303
375.000000	-40.577202
375.976562	-41.225170
376.953125	-41.213455
377.929688	-42.128704
378.906250	-42.126328
379.882812	-41.641491
380.859375	-41.547894
381.835938	-40.885677
382.812500	-42.538349
383.789062	-42.222603
384.765625	-40.344086
385.742188	-41.947300
386.718750	-41.873962
387.695312	-41.610584
388.671875	-42.527813
389.648438	-41.266758
390.625000	-41.552433
391.601562	-41.202106
392.578125	-40.508625
393.554688	-41.109970
394.531250	-40.582951
395.507812	-40.888359
396.484375	-40.811768
397.460938	-40.668758
398.437500	-41.954124
399.414062	-41.208076
400.390625	-40.991360
401.367188	-40.416878
402.343750	-40.679619
403.320312	-41.990360
404.296875	-41.629490
405.273438	-41.001442
406.250000	-39.907108
407.226562	-41.201504
408.203125	-41.078598
409.179688	-41.237354
410.156250	-41.427937
411.132812	-40.938732
412.109375	-40.665394
413.085938	-39.576202
414.062500	-39.241650
415.039062	-40.760456
416.015625	-41.996456
416.992188	-41.553246
417.968750	-41.168739
418.945312	-41.097878
419.921875	-41.510044
420.898438	-41.287045
421.875000	-40.911774
422.851562	-40.467525
423.828125	-40.721100
424.804688	-39.710823
425.781250	-40.173962
426.757812	-41.328732
427.734375	-40.776527
428.710938	-41.619881
429.687500	-41.716022
430.664062	-40.320339
431.640625	-40.019691
432.617188	-40.513512
433.593750	-40.769123
434.570312	-41.945648
435.546875	-41.493359
436.523438	-39.992828
437.500000	-39.903336
438.476562	-40.387421
439.453125	-40.651642
440.429688	-41.097107
441.406250	-41.293827
442.382812	-40.213017
443.359375	-40.713833
444.335938	-41.198502
445.312500	-41.246483
446.289062	-40.758209
447.265625	-41.664299
448.242188	-41.947800
449.218750	-43.010029
450.195312	-42.198429
451.171875	-42.270054
452.148438	-41.625423
453.125000	-40.892300
454.101562	-41.153889
455.078125	-41.252499
456.054688	-40.382542
457.031250	-39.723713
458.007812	-40.272064
458.984375	-41.138020
459.960938	-40.311600
460.937500	-40.985897
461.914062	-40.941051
462.890625	-39.990582
463.867188	-40.570370
464.843750	-40.381466
465.820312	-40.374069
466.796875	-40.325848
467.773438	-41.334858
468.750000	-40.300167
469.726562	-41.093513
470.703125	-40.476585
471.679688	-41.281757
472.656250	-42.683884
473.632812	-41.052277
474.609375	-40.136604
475.585938	-41.167614
476.562500	-41.364170
477.539062	-42.006462
478.515625	-43.066788
479.492188	-41.037327
480.468750	-41.232445
481.445312	-41.389305
482.421875	-41.851795
483.398438	-41.407829
484.375000	-41.670025
485.351562	-41.500671
486.328125	-41.245995
487.304688	-40.871578
488.281250	-40.998611
489.257812	-41.528698
490.234375	-40.070496
491.210938	-40.860435
492.187500	-41.039463
493.164062	-40.781960
494.140625	-39.902382
495.117188	-40.053017
496.093750	-40.474247
497.070312	-40.203022
498.046875	-40.602589
499.023438	-40.989948
500.000000	-41.979176
500.976562	-41.057346
501.953125	-41.722839
502.929688	-40.080334
503.906250	-40.113335
504.882812	-41.645103
505.859375	-41.039356
506.835938	-39.151421
507.812500	-40.806057
508.789062	-42.431789
509.765625	-42.204369
510.742188	-41.099590
511.718750	-40.462654
512.695312	-41.608517
513.671875	-42.252682
514.648438	-41.438709
515.625000	-41.259235
516.601562	-42.042057
517.578125	-40.754597
518.554688	-39.908588
519.531250	-40.603443
520.507812	-40.750954
521.484375	-39.960361
522.460938	-41.124249
523.437500	-41.270611
524.414062	-41.292030
525.390625	-40.341225
526.367188	-40.045296
527.343750	-42.116722
528.320312	-40.555370
529.296875	-40.507938
530.273438	-39.780468
531.250000	-40.126820
532.226562	-40.954967
533.203125	-41.336609
534.179688	-40.642265
535.156250	-39.884144
536.132812	-40.343098
537.109375	-40.461674
538.085938	-40.071404
539.062500	-41.516300
540.039062	-39.932484
541.015625	-39.605930
541.992188	-40.693249
542.968750	-41.466270
543.945312	-41.516552
544.921875	-41.265785
545.898438	-41.210030
546.875000	-41.029713
547.851562	-41.454903
548.828125	-40.576454
549.804688	-41.175587
550.781250	-41.696857
551.757812	-40.951931
552.734375	-39.659973
553.710938	-39.631134
554.687500	-40.232121
555.664062	-41.144264
556.640625	-40.444489
557.617188	-40.321568
558.593750	-41.866367
559.570312	-40.797260
560.546875	-41.033222
561.523438	-40.676781
562.500000	-40.454403
563.476562	-40.488113
564.453125	-40.606720
565.429688	-41.763233
566.406250	-42.220985
567.382812	-43.333652
568.359375	-43.041901
569.335938	-41.593899
570.312500	-40.977470
571.289062	-40.336571
572.265625	-39.555428
573.242188	-40.246246
574.218750	-41.992298
575.195312	-41.043327
576.171875	-41.396038
577.148438	-41.793415
578.125000	-41.129852
579.101562	-41.498760
580.078125	-41.839699
581.054688	-40.539188
582.031250	-39.115116
583.007812	-40.605576
583.984375	-42.375454
584.960938	-42.364056
585.937500	-42.584431
586.914062	-43.531837
587.890625	-42.924412
588.867188	-42.391033
589.843750	-40.868542
590.820312	-40.603001
591.796875	-41.012100
592.773438	-40.778446
593.750000	-41.374378
594.726562	-41.069668
595.703125	-41.282913
596.679688	-40.759632
597.656250	-40.390152
598.632812	-40.705761
599.609375	-42.411152
600.585938	-41.031887
601.562500	-40.703156
602.539062	-41.340160
603.515625	-40.599655
604.492188	-40.355869
605.468750	-41.628643
606.445312	-42.551037
607.421875	-40.946541
608.398438	-40.887920
609.375000	-41.418633
610.351562	-41.202839
611.328125	-40.789333
612.304688	-40.838242
613.281250	-41.416580
614.257812	-40.931087
615.234375	-41.057861
616.210938	-40.892990
617.187500	-41.132519
618.164062	-41.863934
619.140625	-40.337498
620.117188	-40.669880
621.093750	-41.756058
622.070312	-41.551281
623.046875	-40.754761
624.023438	-39.802074
625.000000	-40.861435
625.976562	-41.879112
626.953125	-40.621517
627.929688	-41.063038
628.906250	-40.485851
