Frequency (Hz)	Level (dB)
283.203125	-65.279785
284.179688	-65.019897
285.156250	-64.594391
286.132812	-67.115616
287.109375	-64.444389
288.085938	-63.045803
289.062500	-62.486801
290.039062	-63.607738
291.015625	-64.743622
291.992188	-65.847618
292.968750	-65.882782
293.945312	-64.998489
294.921875	-65.286087
295.898438	-66.318382
296.875000	-65.415245
297.851562	-65.099220
298.828125	-65.056839
299.804688	-66.798981
300.781250	-65.401855
301.757812	-67.578369
302.734375	-68.105324
303.710938	-69.114128
304.687500	-67.204582
305.664062	-68.533455
306.640625	-67.843521
307.617188	-69.550980
308.593750	-70.012466
309.570312	-68.867859
310.546875	-68.213432
311.523438	-67.474716
312.500000	-68.896088
313.476562	-69.270851
314.453125	-68.736130
315.429688	-70.983330
316.406250	-73.437477
317.382812	-72.417999
318.359375	-69.302856
319.335938	-69.858543
320.312500	-69.763283
321.289062	-69.600456
322.265625	-70.500893
323.242188	-68.876808
324.218750	-68.795128
325.195312	-70.304588
326.171875	-72.115921
327.148438	-69.887947
328.125000	-70.793343
329.101562	-71.724602
330.078125	-70.774826
331.054688	-70.578636
332.031250	-71.414360
333.007812	-73.310135
333.984375	-72.710884
334.960938	-70.108498
335.937500	-70.437408
336.914062	-70.018921
337.890625	-70.323624
338.867188	-71.602196
339.843750	-71.942596
340.820312	-71.812492
341.796875	-74.021309
342.773438	-71.743057
343.750000	-70.960106
344.726562	-71.995728
345.703125	-70.462364
346.679688	-72.011978
347.656250	-71.592896
348.632812	-70.624069
349.609375	-71.045883
350.585938	-72.208595
351.562500	-72.682579
352.539062	-75.434738
353.515625	-75.303825
354.492188	-73.561310
355.468750	-72.637329
356.445312	-72.377800
357.421875	-70.912903
358.398438	-71.436127
359.375000	-74.572510
360.351562	-74.467461
361.328125	-72.417664
362.304688	-71.497902
363.281250	-72.124428
364.257812	-74.859283
365.234375	-73.315826
366.210938	-71.947166
367.187500	-72.349007
368.164062	-72.631897
369.140625	-73.540047
370.117188	-75.007561
371.093750	-75.385910
372.070312	-76.778809
373.046875	-72.542648
374.023438	-73.229576
375.000000	-72.887917
375.976562	-73.627396
376.953125	-72.533661
377.929688	-74.619926
378.906250	-74.390274
379.882812	-73.898056
380.859375	-74.674782
381.835938	-74.443275
382.812500	-75.502884
383.789062	-75.656090
384.765625	-74.140259
385.742188	-74.318214
386.718750	-73.353508
387.695312	-74.148094
388.671875	-75.322357
389.648438	-73.082451
390.625000	-73.661674
391.601562	-73.235764
392.578125	-72.581650
393.554688	-74.690033
394.531250	-74.962822
395.507812	-73.235168
396.484375	-72.779068
397.460938	-71.288673
398.437500	-72.338867
399.414062	-72.321510
400.390625	-72.632362
401.367188	-72.179169
402.343750	-73.633110
403.320312	-74.678474
404.296875	-74.248474
405.273438	-73.540504
406.250000	-74.243713
407.226562	-73.405373
408.203125	-73.271553
409.179688	-75.428566
410.156250	-74.904091
411.132812	-72.674843
412.109375	-71.802292
413.085938	-72.788986
414.062500	-73.222008
415.039062	-72.823578
416.015625	-74.773521
416.992188	-74.810875
417.968750	-72.546776
418.945312	-70.844154
