Frequency (Hz)	Level (dB)
1.953125	-104.188301
3.906250	-97.231407
5.859375	-91.932915
7.812500	-90.669388
9.765625	-86.363037
11.718750	-82.939926
13.671875	-82.590775
15.625000	-82.353195
17.578125	-81.623306
19.531250	-80.276550
21.484375	-78.847000
23.437500	-77.428612
25.390625	-77.820518
27.343750	-77.443008
29.296875	-77.730690
31.250000	-78.016182
33.203125	-77.722733
35.156250	-78.033600
37.109375	-78.129089
39.062500	-79.001190
41.015625	-77.692635
42.968750	-77.225197
44.921875	-77.166969
46.875000	-76.497627
48.828125	-76.303490
50.781250	-76.208885
52.734375	-75.698776
54.687500	-75.094215
56.640625	-73.820671
58.593750	-73.119682
60.546875	-73.514709
62.500000	-73.034874
64.453125	-75.062607
66.406250	-77.963463
68.359375	-77.567368
70.312500	-76.409439
72.265625	-75.438377
74.218750	-75.553688
76.171875	-76.443443
78.125000	-77.642456
80.078125	-79.760361
82.031250	-79.149376
83.984375	-77.950317
85.937500	-76.373093
87.890625	-77.286087
89.843750	-78.570030
91.796875	-78.067818
93.750000	-78.202507
95.703125	-79.237617
97.656250	-79.136391
99.609375	-79.430603
101.562500	-78.876556
103.515625	-78.479599
105.468750	-78.512184
107.421875	-79.136490
109.375000	-78.312691
111.328125	-78.029800
113.281250	-76.516609
115.234375	-76.384605
117.187500	-74.906151
119.140625	-68.869629
121.093750	-69.174332
123.046875	-75.676445
125.000000	-78.310585
126.953125	-78.641655
128.906250	-78.879219
130.859375	-78.771416
132.812500	-78.143066
134.765625	-77.854935
136.718750	-77.965393
138.671875	-77.355057
140.625000	-77.015915
142.578125	-77.888840
144.531250	-77.357353
146.484375	-76.871979
148.437500	-76.169769
150.390625	-75.446770
152.343750	-75.746101
154.296875	-76.397560
156.250000	-75.578209
158.203125	-75.384857
160.156250	-75.150826
162.109375	-75.540627
164.062500	-76.500305
166.015625	-76.348137
167.968750	-77.017700
169.921875	-77.321289
171.875000	-76.974861
173.828125	-76.609360
175.781250	-76.219910
177.734375	-76.441299
179.687500	-75.804840
181.640625	-76.321320
183.593750	-75.855507
185.546875	-76.033112
187.500000	-76.471680
189.453125	-75.577400
191.406250	-75.106232
193.359375	-74.568054
195.312500	-74.446091
197.265625	-75.126709
199.218750	-74.264244
201.171875	-74.039284
203.125000	-73.320831
205.078125	-73.302696
207.031250	-73.259552
208.984375	-73.399895
210.937500	-72.570671
212.890625	-71.559288
214.843750	-71.782768
216.796875	-71.557381
218.750000	-72.056030
220.703125	-71.635887
222.656250	-71.264137
224.609375	-70.682907
226.562500	-71.052658
228.515625	-71.120193
230.468750	-69.812515
232.421875	-68.808754
234.375000	-68.756615
236.328125	-69.159355
238.281250	-68.563034
240.234375	-62.682972
242.187500	-60.782475
244.140625	-65.802673
246.093750	-66.659653
248.046875	-65.407059
250.000000	-64.649498
251.953125	-64.217728
253.906250	-63.213371
255.859375	-62.433533
257.812500	-62.883213
259.765625	-63.116020
261.718750	-62.590202
263.671875	-62.214439
265.625000	-61.720459
267.578125	-61.546665
269.531250	-61.905041
271.484375	-61.866646
273.437500	-62.628868
275.390625	-62.870403
277.343750	-62.977810
279.296875	-64.399704
281.250000	-64.944923
283.203125	-65.190582
285.156250	-65.115067
287.109375	-65.545341
289.062500	-65.959641
291.015625	-66.252426
292.968750	-66.717094
294.921875	-67.316986
296.875000	-68.231102
298.828125	-68.676720
300.781250	-69.016167
302.734375	-69.123344
304.687500	-69.558304
306.640625	-69.471832
308.593750	-69.752953
310.546875	-70.037086
312.500000	-70.749985
314.453125	-70.163643
316.406250	-70.535400
318.359375	-71.383110
320.312500	-71.802307
322.265625	-72.218323
324.218750	-72.032883
326.171875	-72.725388
328.125000	-72.626259
330.078125	-71.999817
332.031250	-72.431602
333.984375	-72.452042
335.937500	-72.774216
337.890625	-73.012260
339.843750	-73.533539
341.796875	-73.471428
343.750000	-72.961754
345.703125	-73.726242
347.656250	-73.744766
349.609375	-74.076355
351.562500	-73.492416
353.515625	-73.017059
355.468750	-73.602646
357.421875	-74.572868
359.375000	-74.465935
361.328125	-74.659477
363.281250	-74.365128
365.234375	-75.320465
367.187500	-75.288826
369.140625	-74.671646
371.093750	-74.491043
373.046875	-74.317520
375.000000	-74.459320
376.953125	-75.228477
378.906250	-74.901413
380.859375	-74.751915
382.812500	-74.701172
384.765625	-75.073448
386.718750	-75.401520
388.671875	-74.942917
390.625000	-75.003258
392.578125	-75.942741
394.531250	-75.167152
396.484375	-74.777893
398.437500	-75.199837
400.390625	-75.049973
402.343750	-74.463432
404.296875	-74.564613
406.250000	-75.603691
408.203125	-75.232903
410.156250	-75.188042
412.109375	-75.277100
414.062500	-75.477150
416.015625	-74.545692
417.968750	-74.689919
419.921875	-74.972427
421.875000	-74.742546
423.828125	-74.081619
425.781250	-74.061050
427.734375	-74.739960
429.687500	-74.482925
431.640625	-73.606133
433.593750	-74.100067
435.546875	-73.794670
437.500000	-73.240311
439.453125	-74.030106
441.406250	-73.989235
443.359375	-73.739433
445.312500	-73.103935
447.265625	-72.986679
449.218750	-72.847420
451.171875	-73.207726
453.125000	-73.653053
455.078125	-72.632362
457.031250	-72.707375
458.984375	-72.351654
460.937500	-71.727150
462.890625	-71.892601
464.843750	-72.051056
466.796875	-71.320953
468.750000	-70.637123
470.703125	-70.667442
472.656250	-71.117455
474.609375	-71.488899
476.562500	-70.943024
478.515625	-70.493080
480.468750	-70.171562
482.421875	-69.775185
484.375000	-69.435173
486.328125	-69.407135
488.281250	-68.948021
490.234375	-68.291931
492.187500	-68.236671
494.140625	-67.565369
496.093750	-67.491043
498.046875	-67.692848
500.000000	-67.326042
501.953125	-66.259041
503.906250	-66.537582
505.859375	-65.303101
507.812500	-64.481918
509.765625	-64.555702
511.718750	-63.931942
513.671875	-63.856113
515.625000	-62.664837
517.578125	-62.640469
519.531250	-62.211159
521.484375	-61.748192
523.437500	-61.682182
525.390625	-61.503971
527.343750	-61.194149
529.296875	-60.656670
531.250000	-60.145267
533.203125	-59.819359
535.156250	-60.308552
537.109375	-60.895046
539.062500	-61.502720
541.015625	-61.212772
542.968750	-61.480606
544.921875	-62.569927
546.875000	-62.923306
548.828125	-63.356350
550.781250	-64.178001
552.734375	-63.749691
554.687500	-63.840183
556.640625	-64.298637
558.593750	-64.931892
560.546875	-66.129318
562.500000	-66.717964
564.453125	-66.296356
566.406250	-67.348427
568.359375	-67.470253
570.312500	-67.669083
572.265625	-68.213997
574.218750	-68.878242
576.171875	-68.992012
578.125000	-68.924271
580.078125	-69.376572
582.031250	-69.251358
583.984375	-69.988281
585.937500	-70.410423
587.890625	-70.014679
589.843750	-69.995216
591.796875	-70.540535
593.750000	-70.739944
595.703125	-71.230766
597.656250	-70.939369
599.609375	-70.872528
601.562500	-71.326591
603.515625	-71.885529
605.468750	-72.082886
607.421875	-72.095718
609.375000	-72.386009
611.328125	-72.274559
613.281250	-72.437263
615.234375	-72.424492
617.187500	-72.501701
619.140625	-72.525002
621.093750	-72.338409
623.046875	-72.964478
625.000000	-72.486855
626.953125	-72.409950
628.906250	-73.017738
630.859375	-73.360123
632.812500	-72.744286
634.765625	-73.124084
636.718750	-73.194359
638.671875	-72.916718
640.625000	-73.240913
642.578125	-73.169617
644.531250	-72.644653
646.484375	-72.964859
648.437500	-73.191933
650.390625	-73.063171
652.343750	-72.973907
654.296875	-73.157295
656.250000	-73.465477
658.203125	-73.572945
660.156250	-73.745712
662.109375	-73.466805
664.062500	-72.908813
666.015625	-73.350563
667.968750	-73.769440
669.921875	-73.852081
671.875000	-73.538261
673.828125	-73.762108
675.781250	-74.255814
677.734375	-74.064980
679.687500	-73.738518
681.640625	-72.510094
683.593750	-72.614746
685.546875	-72.371323
687.500000	-72.990303
689.453125	-73.220840
691.406250	-73.574860
693.359375	-73.267197
695.312500	-73.531303
697.265625	-72.912910
699.218750	-72.998932
701.171875	-72.320946
703.125000	-71.921738
705.078125	-71.888275
707.031250	-72.202065
708.984375	-72.337166
710.937500	-71.734985
712.890625	-71.418404
714.843750	-71.271858
716.796875	-71.320381
718.750000	-71.575027
720.703125	-71.277649
722.656250	-71.383720
724.609375	-70.757584
726.562500	-70.340782
728.515625	-70.492203
730.468750	-70.270775
732.421875	-70.566772
734.375000	-70.091743
736.328125	-69.793602
738.281250	-69.258408
