Frequency (Hz)	Level (dB)
283.203125	-60.825657
284.179688	-60.330284
285.156250	-61.540829
286.132812	-62.384659
287.109375	-60.192848
288.085938	-59.485588
289.062500	-58.519718
290.039062	-59.461864
291.015625	-60.315762
291.992188	-61.122234
292.968750	-61.468891
293.945312	-60.855625
294.921875	-60.906796
295.898438	-62.437435
296.875000	-61.432571
297.851562	-61.538834
298.828125	-62.118866
299.804688	-61.450230
300.781250	-61.082996
301.757812	-62.028976
302.734375	-63.005756
303.710938	-63.831810
304.687500	-64.044991
305.664062	-64.728249
306.640625	-64.000580
307.617188	-64.813469
308.593750	-65.943253
309.570312	-65.575264
310.546875	-65.728157
311.523438	-65.805664
312.500000	-66.154617
313.476562	-66.190353
314.453125	-66.058838
315.429688	-67.405838
316.406250	-68.340981
317.382812	-67.927864
318.359375	-67.307472
319.335938	-67.334076
320.312500	-66.107361
321.289062	-66.407806
322.265625	-68.557259
323.242188	-68.368149
324.218750	-68.061691
325.195312	-68.711594
326.171875	-69.140099
327.148438	-67.750763
328.125000	-68.764381
329.101562	-69.313400
330.078125	-68.599052
331.054688	-69.122032
332.031250	-69.028152
333.007812	-70.948425
333.984375	-71.263115
334.960938	-70.883492
335.937500	-70.481026
336.914062	-69.913979
337.890625	-69.481201
338.867188	-70.198059
339.843750	-71.197594
340.820312	-71.018257
341.796875	-70.834190
342.773438	-70.243362
343.750000	-70.800362
344.726562	-72.199379
345.703125	-71.847603
346.679688	-71.578606
347.656250	-70.817726
348.632812	-71.415741
349.609375	-71.209572
350.585938	-71.228348
351.562500	-70.963646
352.539062	-73.306747
353.515625	-71.923515
354.492188	-72.064461
355.468750	-73.014687
356.445312	-72.734612
357.421875	-70.990746
358.398438	-72.262489
359.375000	-72.953598
360.351562	-72.680237
361.328125	-72.109726
362.304688	-71.351212
363.281250	-72.532089
364.257812	-73.938004
365.234375	-72.813797
366.210938	-72.937233
367.187500	-73.281563
368.164062	-73.468056
369.140625	-73.040070
370.117188	-74.908333
371.093750	-74.352722
372.070312	-74.381302
373.046875	-73.628891
374.023438	-73.027954
375.000000	-73.535675
375.976562	-73.811211
376.953125	-73.496315
377.929688	-74.737686
378.906250	-74.877502
379.882812	-74.703346
380.859375	-74.700645
381.835938	-73.397125
