Frequency (Hz)	Level (dB)
283.203125	-70.926765
284.179688	-70.678596
285.156250	-71.619904
286.132812	-72.246071
287.109375	-70.731438
288.085938	-69.929649
289.062500	-68.871750
290.039062	-69.973679
291.015625	-70.893524
291.992188	-71.614029
292.968750	-71.754402
293.945312	-70.871506
294.921875	-71.177734
295.898438	-72.083504
296.875000	-70.979393
297.851562	-70.709473
298.828125	-71.021156
299.804688	-70.420975
300.781250	-69.744003
301.757812	-70.492981
302.734375	-71.302307
303.710938	-71.887024
304.687500	-71.732437
305.664062	-72.426720
306.640625	-71.460129
307.617188	-71.983566
308.593750	-72.795456
309.570312	-72.043083
310.546875	-71.903168
311.523438	-71.907211
312.500000	-72.318001
313.476562	-72.321739
314.453125	-71.686684
315.429688	-72.880096
316.406250	-73.710411
317.382812	-73.383850
318.359375	-72.483894
319.335938	-72.163109
320.312500	-70.757347
321.289062	-70.917305
322.265625	-72.931473
323.242188	-72.794075
324.218750	-72.083313
325.195312	-72.700020
326.171875	-72.762115
327.148438	-71.352730
328.125000	-72.286789
329.101562	-72.447754
330.078125	-71.620705
331.054688	-72.201027
332.031250	-71.927048
333.007812	-73.165527
333.984375	-73.470055
334.960938	-72.805367
335.937500	-72.824112
336.914062	-71.835052
337.890625	-70.896408
338.867188	-71.422577
339.843750	-72.680130
340.820312	-72.615791
341.796875	-72.245750
342.773438	-71.373810
343.750000	-71.596123
344.726562	-72.822365
345.703125	-71.954247
346.679688	-71.978813
347.656250	-71.434898
348.632812	-71.874718
349.609375	-71.579269
350.585938	-71.422844
351.562500	-71.273369
352.539062	-73.615433
353.515625	-71.602646
354.492188	-71.623001
355.468750	-72.412689
356.445312	-72.122955
357.421875	-70.273933
358.398438	-71.071251
359.375000	-71.575577
360.351562	-71.272995
361.328125	-70.706169
362.304688	-69.812912
363.281250	-70.778831
364.257812	-72.258377
365.234375	-71.007881
366.210938	-71.055580
367.187500	-71.518341
368.164062	-71.150482
369.140625	-70.554726
370.117188	-72.445061
371.093750	-71.387787
372.070312	-71.848465
373.046875	-70.732872
374.023438	-70.251541
375.000000	-70.019653
375.976562	-70.391441
376.953125	-69.987190
377.929688	-71.277916
378.906250	-71.417747
379.882812	-71.160934
380.859375	-71.095802
381.835938	-69.884560
382.812500	-71.835327
383.789062	-70.620079
384.765625	-69.070686
385.742188	-70.357071
386.718750	-69.740494
387.695312	-69.467453
388.671875	-70.259933
389.648438	-69.288300
390.625000	-69.318535
391.601562	-68.563507
392.578125	-67.849335
393.554688	-68.689171
394.531250	-68.826843
