Frequency (Hz)	Level (dB)
1.953125	-99.161407
3.906250	-96.544212
5.859375	-93.248726
7.812500	-92.199966
9.765625	-89.206093
11.718750	-85.899643
13.671875	-84.565994
15.625000	-84.222969
17.578125	-83.812454
19.531250	-83.173538
21.484375	-81.557129
23.437500	-80.464294
25.390625	-80.650444
27.343750	-80.035347
29.296875	-79.536842
31.250000	-80.114784
33.203125	-80.436707
35.156250	-79.595459
37.109375	-79.685730
39.062500	-80.104797
41.015625	-79.654419
42.968750	-79.783997
44.921875	-79.188606
46.875000	-79.247559
48.828125	-78.169426
50.781250	-77.492973
52.734375	-77.468277
54.687500	-76.107895
56.640625	-74.809738
58.593750	-74.135933
60.546875	-74.452499
62.500000	-74.022064
64.453125	-75.784836
66.406250	-78.329056
68.359375	-78.141556
70.312500	-77.060989
72.265625	-77.179718
74.218750	-76.087212
76.171875	-76.000870
78.125000	-76.769646
80.078125	-76.973877
82.031250	-75.363548
83.984375	-74.459457
85.937500	-74.866852
87.890625	-75.582069
89.843750	-75.817612
91.796875	-74.504387
93.750000	-74.459869
95.703125	-76.442062
97.656250	-75.863564
99.609375	-74.954552
101.562500	-74.114723
103.515625	-72.281113
105.468750	-72.619247
107.421875	-73.093712
109.375000	-72.450195
111.328125	-71.029121
113.281250	-68.890007
115.234375	-67.109688
117.187500	-63.804466
119.140625	-56.566677
121.093750	-56.421967
123.046875	-63.171608
125.000000	-67.116753
126.953125	-67.657074
128.906250	-66.302666
130.859375	-65.182953
132.812500	-64.301292
134.765625	-63.222900
136.718750	-63.023422
138.671875	-62.108620
140.625000	-61.079700
142.578125	-60.323643
144.531250	-60.221474
146.484375	-60.639908
148.437500	-60.383129
150.390625	-59.446178
152.343750	-60.064377
154.296875	-60.928097
156.250000	-62.224453
158.203125	-63.284161
160.156250	-63.645874
162.109375	-64.067001
164.062500	-65.403725
166.015625	-65.827438
167.968750	-67.136749
169.921875	-68.585060
171.875000	-68.732216
173.828125	-68.605087
175.781250	-68.991257
177.734375	-69.023315
179.687500	-69.158791
181.640625	-69.848251
183.593750	-70.517349
185.546875	-71.073936
187.500000	-71.423912
189.453125	-70.636078
191.406250	-70.648994
193.359375	-70.692596
195.312500	-70.795242
197.265625	-71.915817
199.218750	-71.527649
201.171875	-71.403389
203.125000	-71.389618
205.078125	-71.522903
207.031250	-71.608833
208.984375	-71.866859
210.937500	-71.759743
212.890625	-70.764755
214.843750	-71.053604
216.796875	-71.073463
218.750000	-71.401634
220.703125	-71.374367
222.656250	-71.786308
224.609375	-71.376892
226.562500	-72.201714
228.515625	-72.278358
230.468750	-71.615219
232.421875	-71.108757
234.375000	-70.851448
236.328125	-71.294205
238.281250	-71.761826
240.234375	-70.562912
242.187500	-69.689850
244.140625	-70.184196
246.093750	-70.230972
248.046875	-69.146362
250.000000	-68.814163
251.953125	-68.925919
253.906250	-68.029572
255.859375	-67.215591
257.812500	-67.606369
259.765625	-67.724487
261.718750	-67.082542
263.671875	-66.508812
265.625000	-65.576210
267.578125	-64.670151
269.531250	-64.539459
271.484375	-63.933662
273.437500	-63.564411
275.390625	-62.235924
