Frequency (Hz)	Level (dB)
283.203125	-83.410149
284.179688	-82.584419
285.156250	-83.202148
286.132812	-83.992859
287.109375	-82.995461
288.085938	-83.522942
289.062500	-81.999031
290.039062	-82.602417
291.015625	-82.949883
291.992188	-83.266930
292.968750	-84.152702
293.945312	-83.166054
294.921875	-83.311890
295.898438	-83.944328
296.875000	-83.169334
297.851562	-83.457329
298.828125	-83.513451
299.804688	-82.055206
300.781250	-81.579224
301.757812	-82.798431
302.734375	-83.569923
303.710938	-83.443161
304.687500	-83.223892
305.664062	-83.854507
306.640625	-83.323982
307.617188	-83.820549
308.593750	-83.723846
309.570312	-84.063408
310.546875	-83.896202
311.523438	-83.490944
312.500000	-82.876595
313.476562	-83.079620
314.453125	-83.473930
315.429688	-84.234787
316.406250	-85.031479
317.382812	-83.878639
318.359375	-84.124481
319.335938	-84.334724
320.312500	-82.350006
321.289062	-81.804832
322.265625	-83.221855
323.242188	-83.204063
324.218750	-83.622826
325.195312	-83.942818
326.171875	-83.213799
327.148438	-82.239403
328.125000	-83.003395
329.101562	-84.249672
330.078125	-83.425941
331.054688	-82.919037
332.031250	-82.816635
333.007812	-84.377586
333.984375	-84.295914
334.960938	-84.801628
335.937500	-83.881874
336.914062	-84.017151
337.890625	-83.028481
338.867188	-83.082283
339.843750	-83.726906
340.820312	-83.918419
341.796875	-83.004417
342.773438	-82.214363
343.750000	-83.457176
344.726562	-84.216843
345.703125	-83.714104
346.679688	-82.235336
347.656250	-82.067261
348.632812	-82.591812
349.609375	-82.713432
350.585938	-81.999222
351.562500	-82.350311
352.539062	-84.117905
353.515625	-83.560143
354.492188	-82.705193
355.468750	-83.930847
356.445312	-82.997566
357.421875	-82.033340
358.398438	-83.433403
359.375000	-84.329399
360.351562	-83.766495
361.328125	-83.085930
362.304688	-82.515739
363.281250	-83.208229
364.257812	-84.193298
365.234375	-82.925369
366.210938	-83.510605
367.187500	-83.036911
368.164062	-83.102188
369.140625	-82.477715
370.117188	-83.841454
371.093750	-83.791611
372.070312	-83.885368
373.046875	-84.262787
374.023438	-82.918343
375.000000	-82.993599
375.976562	-83.023941
376.953125	-83.615135
377.929688	-84.680191
378.906250	-85.492096
379.882812	-83.850922
380.859375	-84.090591
381.835938	-83.631554
382.812500	-84.716553
383.789062	-83.248146
384.765625	-82.263725
385.742188	-83.612762
386.718750	-84.095352
387.695312	-83.957161
